model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,14,47,1,0,inception_v3,1,11,1,0,vgg19,12,20,1,0,20930.0,21562.275510204083,1461.2992246949723
resnet152,39,45,1,0,inception_v3,8,13,1,0,vgg19,1,21,1,0,9966.5,10154.581632653062,779.7789184784729
resnet152,17,33,1,0,inception_v3,5,11,1,0,vgg19,7,16,1,0,11305.0,11823.448979591836,1941.237944611891
resnet152,34,40,1,0,inception_v3,0,4,1,0,vgg19,3,15,1,0,4636.0,4766.0204081632655,458.88060293149476
resnet152,34,47,1,0,inception_v3,7,12,1,0,vgg19,16,20,1,0,9879.5,10312.163265306122,1112.1887199817502
resnet152,5,17,1,0,inception_v3,0,5,1,0,vgg19,8,13,1,0,8107.5,8585.826530612245,1275.4945821492322
resnet152,4,22,1,0,inception_v3,0,9,1,0,vgg19,16,21,1,0,13124.0,13818.061224489797,1901.1154449499043
resnet152,30,49,1,0,inception_v3,8,13,1,0,vgg19,8,15,1,0,12490.0,12890.57142857143,1291.93445369843
resnet152,44,50,1,0,inception_v3,0,13,1,0,vgg19,6,19,1,0,20157.5,20267.01020408163,674.2407444885912
resnet152,35,50,1,0,inception_v3,5,11,1,0,vgg19,10,19,1,0,10897.0,11328.755102040815,1315.2662108223992
resnet152,11,38,1,0,inception_v3,6,13,1,0,vgg19,9,20,1,0,17466.5,17983.836734693876,1500.500105025379
resnet152,47,51,1,0,inception_v3,8,13,1,0,vgg19,12,17,1,0,9695.5,9829.081632653062,602.659576182675
resnet152,0,28,1,0,inception_v3,5,13,1,0,vgg19,1,16,1,0,17925.0,18690.061224489797,1752.1136379622167
resnet152,40,46,1,0,inception_v3,7,12,1,0,vgg19,4,20,1,0,9922.5,9929.030612244898,88.0572001114156
resnet152,41,48,1,0,inception_v3,3,10,1,0,vgg19,2,16,1,0,12619.0,12740.040816326531,612.2916791651213
resnet152,32,37,1,0,inception_v3,8,12,1,0,vgg19,10,19,1,0,7779.5,7936.734693877551,709.4982928604162
resnet152,0,22,1,0,inception_v3,5,13,1,0,vgg19,2,13,1,0,14855.0,15911.683673469388,2608.6145888971246
resnet152,18,33,1,0,inception_v3,6,10,1,0,vgg19,16,20,1,0,9882.0,10145.612244897959,953.8690453979675
resnet152,25,35,1,0,inception_v3,5,13,1,0,vgg19,1,11,1,0,14712.0,14762.765306122448,398.6305844738553
resnet152,7,46,1,0,inception_v3,7,13,1,0,vgg19,15,21,1,0,24472.0,24842.744897959183,1184.914431692497
resnet152,2,22,1,0,inception_v3,4,11,1,0,vgg19,11,19,1,0,13092.5,13780.166666666666,1830.646167037445
resnet152,29,42,1,0,inception_v3,2,12,1,0,vgg19,13,21,1,0,17024.5,17114.030612244896,398.5902313558101
resnet152,32,47,1,0,inception_v3,4,8,1,0,vgg19,11,17,1,0,9819.0,10368.237113402061,1280.4305394896073
resnet152,17,43,1,0,inception_v3,2,10,1,0,vgg19,11,16,1,0,16449.0,17331.48979591837,1751.4154872786612
resnet152,35,48,1,0,inception_v3,5,10,1,0,vgg19,0,7,1,0,9644.5,10117.5,1331.4121186138561
resnet152,26,41,1,0,inception_v3,4,8,1,0,vgg19,9,18,1,0,9682.0,9730.0,434.60671876997026
resnet152,11,18,1,0,inception_v3,5,11,1,0,vgg19,15,19,1,0,10734.0,10965.316326530612,994.0243868085828
