model,start,end,bs,model,start,end,bs,median,mean,var
bert,5,9,1,bert,1,6,1,8030.0,8054.32,153.1616714455676
bert,0,10,1,bert,4,8,1,15066.0,15154.5,354.7499541930908
bert,7,11,1,bert,1,6,1,8136.0,8164.05,238.41675171849818
bert,7,11,1,bert,7,11,1,6550.0,6586.48,183.68513712328496
bert,1,9,1,bert,6,10,1,12186.5,12234.45,270.50058687551865
bert,4,10,1,bert,5,11,1,9542.5,9587.25,234.82220401827422
bert,7,11,1,bert,5,11,1,9523.0,9574.05,231.02239610046465
bert,2,8,1,bert,3,11,1,12492.0,12583.75,630.7149653369579
bert,4,9,1,bert,5,11,1,9653.0,9697.21,278.8028082713659
bert,1,7,1,bert,2,11,1,14064.0,14122.59,348.8074567723574
bert,0,8,1,bert,3,11,1,12605.5,12648.07,299.3675418277673
bert,3,11,1,bert,6,11,1,12291.0,12378.85,370.0271172495335
bert,3,10,1,bert,4,11,1,11015.0,11067.27,211.14155701803472
bert,1,8,1,bert,4,9,1,10917.0,11032.67,354.66809991878324
bert,2,11,1,bert,1,8,1,13831.5,13906.34,378.9724850170524
bert,1,5,1,bert,6,10,1,6610.0,6669.75,222.29081739918993
bert,1,7,1,bert,2,8,1,9616.0,9686.43,242.6514477599505
bert,0,11,1,bert,1,11,1,16659.0,16734.5,414.72821220650036
bert,4,10,1,bert,4,9,1,9474.5,9503.78,196.82944800003887
bert,4,11,1,bert,2,6,1,10814.0,10876.63,237.63226443393583
bert,1,5,1,bert,4,8,1,6533.0,6580.4,179.0308353329113
bert,7,11,1,bert,5,10,1,8085.0,8120.74,163.13611617296766
bert,5,11,1,bert,4,9,1,9484.5,9550.08,254.24113278539332
bert,0,8,1,bert,3,8,1,12230.0,12297.06,277.94250556544966
bert,5,11,1,bert,3,11,1,12763.5,12979.28,628.5593063506419
bert,0,11,1,bert,7,11,1,16457.5,16715.24,664.9955807371955
bert,0,11,1,bert,1,8,1,16600.0,16708.91,435.49785521859917
bert,5,10,1,bert,2,10,1,12405.0,12488.94,320.7771444476679
bert,2,10,1,bert,5,10,1,12220.5,12341.81,724.1447050831761
bert,6,11,1,bert,7,11,1,8024.5,8076.75,228.42181922924962
bert,7,11,1,bert,5,10,1,8146.0,8150.67,256.4323713964366
bert,2,11,1,bert,1,11,1,15522.0,15587.99,491.7017489291654
bert,0,11,1,bert,5,11,1,16483.0,16633.11,496.54306751781365
bert,1,8,1,bert,1,10,1,13794.5,13852.51,363.26226049508637
bert,3,9,1,bert,6,10,1,9330.5,9439.76,349.0613734001515
bert,7,11,1,bert,0,8,1,12247.5,12305.68,357.58486768877674
bert,4,8,1,bert,0,10,1,15158.0,15203.33,351.14327716759726
bert,3,7,1,bert,2,7,1,7971.0,8070.91,292.80854137131996
bert,7,11,1,bert,0,8,1,12304.0,12360.91,577.2578123334495
bert,7,11,1,bert,1,5,1,6557.5,6712.85,673.0945903065927
bert,4,9,1,bert,4,10,1,9589.5,9588.89,181.87236705997975
bert,5,10,1,bert,7,11,1,7974.5,8017.63,237.37424691823668
bert,3,7,1,bert,3,11,1,12504.0,12657.14,906.4566070143678
bert,1,5,1,bert,4,10,1,9637.0,9821.46,788.6369306594765
bert,1,5,1,bert,0,6,1,9562.0,9593.3,127.16080370931917
bert,3,7,1,bert,3,8,1,8206.0,8330.42,613.6641944907655
bert,1,11,1,bert,2,10,1,15233.0,15294.38,305.22961127649455
bert,0,10,1,bert,4,8,1,14977.5,15027.5,271.6104011263192
bert,4,8,1,bert,5,11,1,9667.5,9800.77,690.9519354484796
bert,2,9,1,bert,6,11,1,10891.0,10930.15,240.5664305342705
bert,4,11,1,bert,6,10,1,10795.0,10857.34,236.61218142775323
bert,7,11,1,bert,4,10,1,9671.0,9712.13,178.23847255853602
bert,6,11,1,bert,5,11,1,9719.5,9865.6,721.8483081645339
bert,5,9,1,bert,4,9,1,8250.5,8293.79,156.2526348577841
bert,0,6,1,bert,6,10,1,9444.5,9516.5,259.7432001034868
bert,4,9,1,bert,0,7,1,11205.5,11250.94,386.60488408709995
bert,1,7,1,bert,6,10,1,9498.5,9523.15,243.00746387714102
bert,7,11,1,bert,1,11,1,15529.0,15723.52,877.0437330030926
bert,3,10,1,bert,1,5,1,10881.0,10941.12,255.18633505734587
bert,0,8,1,bert,2,10,1,12692.0,12845.96,848.7648074702438
bert,3,9,1,bert,4,10,1,9723.0,9897.56,685.1418731912391
bert,2,6,1,bert,1,6,1,8132.0,8336.91,807.4401661423589
bert,4,8,1,bert,3,9,1,9560.0,9591.28,200.09952923482854
bert,7,11,1,bert,3,7,1,6586.0,6714.22,609.9329074578613
bert,5,11,1,bert,5,10,1,9450.5,9499.0,223.31954683815746
bert,5,9,1,bert,1,11,1,15334.5,15495.47,1055.7938288794835
bert,4,11,1,bert,6,10,1,10859.5,10980.01,344.374316551046
bert,2,11,1,bert,6,10,1,13644.0,13822.97,449.9872321522023
bert,4,9,1,bert,4,8,1,8029.0,8107.91,380.0756265534532
bert,0,8,1,bert,7,11,1,12186.0,12245.63,286.5460750036545
bert,0,4,1,bert,6,11,1,8116.0,8306.95,721.4822572315968
bert,1,10,1,bert,4,10,1,13813.0,14024.92,551.9791061263098
bert,0,11,1,bert,2,7,1,16698.5,16964.79,671.2727805445413
bert,4,10,1,bert,5,10,1,9420.0,9440.44,161.2811408689807
bert,5,10,1,bert,0,6,1,9633.0,9812.43,796.7583605460316
bert,7,11,1,bert,3,9,1,9512.5,9535.66,155.63734898795983
bert,1,11,1,bert,6,10,1,15018.5,15136.97,385.45151329317673
bert,3,7,1,bert,5,9,1,6573.0,6607.82,181.98452571578716
bert,6,10,1,bert,5,11,1,9531.5,9687.73,769.9761276169542
bert,7,11,1,bert,3,8,1,8073.5,8140.25,229.06847775283268
bert,1,6,1,bert,6,11,1,8074.0,8251.87,706.86837041984
bert,7,11,1,bert,2,8,1,9515.0,9576.32,277.58151523471446
bert,5,9,1,bert,4,11,1,11049.0,11213.36,775.7128530583982
bert,7,11,1,bert,0,4,2,6433.0,6468.3,132.63397000768694
bert,5,9,1,bert,1,10,2,13503.5,13697.12,828.9275876697553
bert,7,11,1,bert,4,10,2,9260.5,9349.95,261.22099360503165
bert,2,11,1,bert,1,7,2,13696.5,13777.88,297.06609634894386
bert,5,11,1,bert,4,8,2,9356.0,9423.53,241.50153022289527
bert,1,8,1,bert,5,11,2,10883.5,10989.92,494.1781395407935
bert,6,10,1,bert,7,11,2,6605.5,6710.67,611.1838030412782
bert,4,8,1,bert,4,11,2,10727.5,10889.86,783.9693236345413
bert,7,11,1,bert,7,11,2,6518.0,6536.15,175.39631552572592
bert,6,11,1,bert,6,10,2,8037.5,8112.15,350.8119261085631
bert,5,10,1,bert,6,10,2,7948.5,7981.16,202.21017382911276
bert,5,10,1,bert,0,10,2,14857.5,15093.04,1047.2505041297427
bert,0,11,1,bert,2,9,2,16422.5,16559.87,471.04188040979966
bert,0,7,1,bert,1,9,2,12180.0,12262.9,354.93245836355965
