model,bs,seq_len,latency
resnet101,16,0,37404
resnet101,16,0,45594
resnet101,16,0,59998
resnet101,16,0,58446
resnet101,16,0,57561
resnet101,16,0,38314
resnet101,16,0,70292
resnet101,16,0,56637
resnet101,16,0,56405
resnet101,16,0,62767
resnet101,16,0,69045
resnet101,16,0,60634
resnet101,16,0,79370
resnet101,16,0,39042
resnet101,16,0,46917
resnet101,16,0,59162
resnet101,16,0,37107
resnet101,16,0,59146
resnet101,16,0,46282
resnet101,16,0,64568
resnet101,16,0,53692
resnet101,16,0,70467
resnet101,16,0,48163
resnet101,16,0,36655
resnet101,16,0,67535
resnet101,16,0,49706
resnet101,16,0,36978
resnet101,16,0,58185
resnet101,16,0,67111
resnet101,16,0,50634
resnet101,16,0,78426
resnet101,16,0,50748
resnet101,16,0,76960
resnet101,16,0,83818
resnet101,16,0,90352
resnet101,16,0,39563
resnet101,16,0,59228
resnet101,16,0,46046
resnet101,16,0,60661
resnet101,16,0,46073
resnet101,16,0,60801
resnet101,16,0,44997
resnet101,16,0,49856
resnet101,16,0,69849
resnet101,16,0,48347
resnet101,16,0,86093
resnet101,16,0,53398
resnet101,16,0,59088
resnet101,16,0,36660
resnet101,16,0,36578
resnet101,16,0,67275
resnet101,16,0,50166
resnet101,16,0,69705
resnet101,16,0,71730
resnet101,16,0,56464
resnet101,16,0,49097
resnet101,16,0,59355
resnet101,16,0,37587
resnet101,16,0,36850
resnet101,16,0,58336
resnet101,16,0,68678
resnet101,16,0,71700
resnet101,16,0,67850
resnet101,16,0,69183
resnet101,16,0,54602
resnet101,16,0,63232
resnet101,16,0,54945
resnet101,16,0,72578
resnet101,16,0,60301
resnet101,16,0,45022
resnet101,16,0,50127
resnet101,16,0,48108
resnet101,16,0,47866
resnet101,16,0,68366
resnet101,16,0,76134
resnet101,16,0,42738
resnet101,16,0,47610
resnet101,16,0,67735
resnet101,16,0,82517
resnet101,16,0,70817
resnet101,16,0,47929
resnet101,16,0,57609
resnet101,16,0,36366
resnet101,16,0,82706
resnet101,16,0,37820
resnet101,16,0,26111
resnet101,16,0,36590
resnet101,16,0,47873
resnet101,16,0,67199
resnet101,16,0,72969
resnet101,16,0,45092
resnet101,16,0,60855
