model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,3,12,4,16,26738.5,27020.448979591838,2553.6042280508873
resnet101,11,35,1,0,resnet152,0,52,1,0,vgg19,0,3,1,0,bert,4,7,4,64,24749.0,24811.571428571428,305.86534985986555
resnet101,0,16,1,0,resnet152,40,51,1,0,vgg19,4,22,1,0,bert,4,4,4,64,9478.0,9163.34693877551,971.9014406027654
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,18,20,1,0,bert,9,12,4,64,25176.5,26160.071428571428,1684.0278686069594
resnet101,11,35,1,0,resnet152,0,21,1,0,vgg19,0,22,1,0,bert,4,5,4,8,13522.0,13581.908163265307,1588.9151676327344
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,8,1,0,bert,0,12,4,8,25230.5,27107.244897959183,2977.7427112345863
resnet101,6,35,1,0,resnet152,34,43,1,0,vgg19,8,8,1,0,bert,0,12,4,64,14455.5,15316.836734693878,1514.762254490834
resnet101,9,35,1,0,resnet152,40,46,1,0,vgg19,0,9,1,0,bert,7,8,4,16,12569.5,12586.122448979591,148.7016095397652
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,8,16,25123.5,26593.530612244896,2760.6468526382105
resnet101,0,35,1,0,resnet152,41,46,1,0,vgg19,13,15,1,0,bert,8,8,8,16,16840.0,18475.530612244896,2726.027498491583
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,16,19,1,0,bert,10,12,8,32,25338.5,26787.0,2554.0344515279817
resnet101,0,20,1,0,resnet152,2,12,1,0,vgg19,0,21,1,0,bert,0,12,8,64,11825.0,12073.34693877551,865.6840647959564
resnet101,28,35,1,0,resnet152,7,52,1,0,vgg19,16,22,1,0,bert,0,9,8,32,22157.0,22567.663265306124,1398.8987647276997
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,10,1,0,bert,1,11,8,32,25271.0,25727.34693877551,1586.1192796979062
resnet101,0,34,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,8,32,25275.0,25418.38775510204,572.5199512191169
resnet101,0,35,1,0,resnet152,16,52,1,0,vgg19,16,22,1,0,bert,6,12,8,8,17758.0,18509.38775510204,1415.614402074331
resnet101,0,35,1,0,resnet152,3,52,1,0,vgg19,21,22,1,0,bert,4,12,8,64,24226.0,25268.85714285714,2505.375978953731
resnet101,20,35,1,0,resnet152,33,39,1,0,vgg19,0,15,1,0,bert,5,8,8,32,8780.5,8446.367346938776,1039.4668510558583
resnet101,32,35,1,0,resnet152,30,52,1,0,vgg19,0,22,1,0,bert,7,12,8,32,12992.5,12142.204081632653,1344.868318864483
resnet101,9,35,1,0,resnet152,0,26,1,0,vgg19,0,22,1,0,bert,0,12,8,32,14709.0,15518.908163265307,2567.8735031735323
resnet101,13,20,1,0,resnet152,14,47,1,0,vgg19,9,22,1,0,bert,0,3,8,32,16210.0,16868.428571428572,1495.8466239721836
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,11,12,8,32,24884.0,24991.34693877551,308.0012291931746
resnet101,27,35,1,0,resnet152,0,6,1,0,vgg19,0,22,1,0,bert,7,8,8,8,4844.5,4843.214285714285,57.19145255104086
resnet101,30,35,1,0,resnet152,0,37,1,0,vgg19,0,16,1,0,bert,0,12,8,16,18138.0,18725.602040816328,1523.6377102975407
resnet101,0,11,1,0,resnet152,0,9,1,0,vgg19,0,5,1,0,bert,0,12,8,32,11828.5,11970.163265306122,625.5217853573804
resnet101,0,35,1,0,resnet152,0,6,1,0,vgg19,0,5,1,0,bert,0,1,8,8,16779.0,17958.336734693876,2080.626573325967
resnet101,32,35,1,0,resnet152,48,52,1,0,vgg19,0,22,1,0,bert,0,12,8,16,11818.0,12031.316326530612,750.3061089184755
resnet101,6,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,8,16,27309.5,28950.030612244896,5394.552095900958
resnet101,0,3,1,0,resnet152,20,52,1,0,vgg19,14,22,1,0,bert,11,11,8,16,15730.0,16302.642857142857,1521.1949334356211
resnet101,0,35,1,0,resnet152,13,52,1,0,vgg19,2,22,1,0,bert,0,7,8,8,19181.5,20431.591836734693,3171.624230890882
resnet101,0,29,1,0,resnet152,0,19,1,0,vgg19,0,22,1,0,bert,0,0,8,64,14196.0,14506.84693877551,973.0556054338
resnet101,0,2,1,0,resnet152,0,52,1,0,vgg19,0,1,1,0,bert,0,12,8,16,25134.0,27495.908163265307,4086.2531939461855
resnet101,0,10,1,0,resnet152,1,52,1,0,vgg19,7,21,1,0,bert,1,12,8,32,25281.5,26137.877551020407,1488.792232494803
resnet101,0,35,1,0,resnet152,26,52,1,0,vgg19,7,22,1,0,bert,0,12,8,32,17128.0,17938.020408163266,1694.5652080936472
resnet101,0,35,1,0,resnet152,0,52,1,0,vgg19,0,22,1,0,bert,0,12,8,64,25248.0,26100.397959183672,1961.814053993093
resnet101,17,18,1,0,resnet152,26,38,1,0,vgg19,18,20,1,0,bert,0,12,8,16,11691.5,11855.69387755102,691.6079077958701
resnet101,0,35,1,0,resnet152,38,52,1,0,vgg19,0,22,1,0,bert,0,2,8,64,19030.5,19649.479591836734,1258.0316762955927
resnet101,0,35,1,0,resnet152,0,4,1,0,vgg19,0,22,1,0,bert,0,12,8,16,17027.0,17365.336734693876,1115.931348410308
