model,start,end,bs,model,start,end,bs,median,mean,var
resnet50,3,9,1,vgg19,3,18,1,5936.5,6019.57,389.814167392618
resnet50,12,16,1,vgg19,13,20,1,4165.5,4178.23,55.28016913867034
resnet50,9,13,1,vgg19,7,18,1,3924.5,3976.17,350.8544158194393
resnet50,4,16,1,vgg19,6,12,1,11415.5,11519.47,340.30951955536
resnet50,6,11,1,vgg19,8,12,1,4954.5,5000.58,230.820240880214
resnet50,13,17,1,vgg19,15,19,1,4128.5,4186.59,292.95785003989914
resnet50,9,15,1,vgg19,12,17,1,5850.0,5873.77,253.23794561637084
resnet50,1,15,1,vgg19,6,16,1,13191.0,13209.78,415.1990505769492
resnet50,13,17,1,vgg19,14,19,1,4085.5,4181.08,497.4499106442778
resnet50,8,15,1,vgg19,13,19,1,6993.0,6997.32,54.73132192812449
resnet50,4,17,1,vgg19,15,20,1,12300.0,12371.64,339.4860385936364
resnet50,3,12,1,vgg19,14,21,1,8531.5,8553.9,201.73797361924701
resnet50,12,16,1,vgg19,6,17,1,4094.5,4218.6,360.8347821371992
resnet50,2,17,1,vgg19,7,18,1,14009.0,13994.38,281.4143130688274
resnet50,1,7,1,vgg19,13,20,1,5594.0,5599.92,166.67901367598742
resnet50,5,15,1,vgg19,10,16,1,9505.5,9602.93,282.36700426926654
resnet50,10,17,1,vgg19,14,19,1,6674.5,6695.21,59.23534333487061
resnet50,0,16,1,vgg19,5,17,1,14293.5,14277.15,377.979797740567
resnet50,6,17,1,vgg19,13,18,1,10413.5,10456.02,119.54839856727483
resnet50,6,10,1,vgg19,16,21,1,4033.0,4063.88,197.8989277383786
resnet50,2,14,1,vgg19,10,16,1,11109.5,11082.94,149.30913033033178
resnet50,12,16,1,vgg19,13,20,1,4059.0,4084.66,234.73782055731883
resnet50,3,9,1,vgg19,9,20,1,5866.0,5919.48,311.59513731764173
resnet50,13,17,1,vgg19,16,21,1,4103.5,4127.79,114.1359097742687
resnet50,8,13,1,vgg19,13,17,1,4992.0,5036.82,251.65104331196406
resnet50,10,17,1,vgg19,6,14,1,6681.5,6699.12,59.643990476828435
resnet50,6,14,1,vgg19,9,18,1,7552.5,7620.09,328.8425183883617
resnet50,3,8,1,vgg19,14,21,1,4728.5,4763.11,254.00141318504512
resnet50,0,13,1,vgg19,10,18,1,11339.0,11353.35,153.409020269344
resnet50,13,17,1,vgg19,11,20,1,4095.5,4144.93,358.6583403463525
resnet50,7,11,1,vgg19,7,18,1,4130.5,4186.05,211.59921431801206
resnet50,13,17,1,vgg19,9,20,1,4141.5,4158.19,74.93433058351826
resnet50,6,17,1,vgg19,2,19,1,10455.0,10490.27,137.35260135869288
resnet50,8,12,1,vgg19,3,12,1,4181.5,4272.21,547.4598303985416
resnet50,1,16,1,vgg19,17,21,1,14104.0,14057.91,431.2170705108971
resnet50,5,17,1,vgg19,2,7,1,11235.5,11330.12,267.67003119512646
resnet50,7,14,1,vgg19,11,18,1,6741.0,6771.93,146.08300756761548
resnet50,13,17,1,vgg19,16,20,1,4085.0,4102.23,115.51985586902367
