model,start,end,bs,model,start,end,bs,median,mean,var
resnet152,3,37,1,bert,4,10,1,35418.5,36015.27,4486.854298626155
resnet152,19,43,1,bert,0,4,1,24916.0,25625.1,4527.553779912504
resnet152,37,49,1,bert,5,11,1,11169.5,12755.85,2957.0303697290633
resnet152,46,50,1,bert,2,11,1,15183.5,15221.3,408.41387096914326
resnet152,21,44,1,bert,7,11,1,23978.0,24393.25,4274.1214755198525
resnet152,31,36,1,bert,5,11,1,10300.0,10441.74,719.2068495224444
resnet152,3,10,1,bert,7,11,1,7067.5,7624.99,1374.87392509277
resnet152,12,29,1,bert,7,11,1,18202.5,18936.55,4083.3018903211164
resnet152,41,50,1,bert,1,6,1,8880.0,9325.21,1450.634035827093
resnet152,2,33,1,bert,7,11,1,27582.0,30102.16,4394.8375731533015
resnet152,30,51,1,bert,7,11,1,20317.5,22021.56,3970.6103065397892
resnet152,46,50,1,bert,3,9,1,8633.0,9006.31,1232.0621793968032
resnet152,1,10,1,bert,4,9,1,7979.0,9075.22,2309.6896613181607
resnet152,40,49,1,bert,2,7,1,10030.0,10648.65,2581.960082476102
resnet152,25,37,1,bert,5,10,1,10993.5,12587.89,2584.4998893209495
resnet152,34,39,1,bert,2,11,1,15185.5,15224.64,354.7072178572068
resnet152,4,42,1,bert,4,10,1,38405.0,40096.79,4888.831345618296
resnet152,14,43,1,bert,2,7,1,29277.0,30157.07,4605.943237285931
resnet152,2,12,1,bert,5,10,1,8913.5,9994.18,2189.13526023405
resnet152,27,50,1,bert,7,11,1,23820.5,24571.87,4296.70405928777
resnet152,38,49,1,bert,5,10,1,10172.0,11837.0,2859.061566318571
resnet152,23,37,1,bert,2,6,1,12569.0,14596.34,3123.8258249140586
resnet152,43,47,1,bert,2,8,1,8684.0,8805.58,640.6680916043814
resnet152,34,39,1,bert,5,11,1,8638.5,8795.53,700.6625358187777
resnet152,2,51,1,bert,7,11,1,49303.5,50125.87,4943.827904883017
resnet152,31,49,1,bert,0,8,1,16607.5,19402.03,4263.687332474087
resnet152,14,23,1,bert,6,11,1,8193.0,9174.54,2269.5893347475885
resnet152,22,36,1,bert,5,10,1,15236.0,15419.65,3140.199507595019
resnet152,29,38,1,bert,1,10,1,12436.0,12985.08,1502.1660006803509
resnet152,39,51,1,bert,0,9,1,12501.5,13759.13,2189.838508452164
resnet152,1,34,1,bert,1,6,1,34568.0,34956.28,4357.804075632588
resnet152,1,33,1,bert,4,11,1,33437.0,34034.59,4735.336714733177
resnet152,7,34,1,bert,6,11,1,27790.0,28742.13,4506.241100196482
resnet152,37,47,1,bert,7,11,1,10802.5,11305.22,2423.624861978438
resnet152,32,49,1,bert,1,7,1,16708.0,18603.49,4074.5799771142056
resnet152,43,51,1,bert,7,11,1,7525.5,8316.7,1888.5491018239372
resnet152,38,46,1,bert,6,10,1,7458.5,8582.3,1986.8118859116985
resnet152,21,45,1,bert,5,11,1,25252.0,26091.32,4368.009775355362
resnet152,1,19,1,bert,7,11,1,19038.5,19270.19,3492.425958255951
resnet152,15,27,1,bert,4,10,1,13141.0,13648.59,3033.608508344477
resnet152,14,32,1,bert,5,10,1,19725.5,19969.14,3720.5382245583764
resnet152,12,34,1,bert,4,9,1,23347.5,23547.76,4004.113665020013
resnet152,2,28,1,bert,7,11,1,26889.0,27985.51,4637.322338365104
resnet152,24,31,1,bert,5,9,1,6454.0,7069.87,1823.1778281615868
resnet152,30,44,1,bert,3,11,1,12546.0,14358.1,2985.0206883705173
resnet152,44,48,1,bert,6,10,1,5964.0,6495.22,1246.107953429397
resnet152,39,45,1,bert,6,10,1,5918.5,6271.69,1234.896260379794
resnet152,40,50,1,bert,0,8,1,11417.5,12505.79,2182.747710089281
resnet152,47,51,1,bert,2,11,1,12691.5,12746.98,389.54167889970387
resnet152,36,43,1,bert,0,7,2,10426.0,10854.83,1250.1512072945416
resnet152,4,42,1,bert,3,9,2,38780.5,39567.64,4794.054122598117
resnet152,0,7,1,bert,3,8,2,7608.5,8089.82,1367.6527657267395
resnet152,36,49,1,bert,3,7,2,13949.0,14762.5,2892.9417087110482
resnet152,8,45,1,bert,2,7,2,36524.0,37200.18,4709.91316136508
resnet152,26,47,1,bert,4,10,2,22331.0,22852.17,4215.593182590084
resnet152,28,40,1,bert,7,11,2,10936.5,12454.52,2719.8314891919317
resnet152,30,50,1,bert,5,11,2,21635.5,22029.54,4202.290681092873
resnet152,34,49,1,bert,3,10,2,13697.5,16150.44,3619.608957663797
resnet152,21,32,1,bert,2,9,2,12456.5,13402.13,1903.3345615261653
resnet152,25,49,1,bert,3,9,2,24645.0,25341.07,4429.616008764191
resnet152,32,47,1,bert,3,7,2,13716.0,15937.91,3276.845126321963
resnet152,41,50,1,bert,7,11,2,8391.0,9286.89,2102.93682213708
resnet152,44,50,1,bert,7,11,2,6190.0,6623.73,1351.7699423718518
resnet152,9,48,1,bert,2,11,2,38370.5,39766.71,5195.883276777877
resnet152,5,9,1,bert,1,7,2,8976.5,9081.2,413.8017641335039
resnet152,39,51,1,bert,4,8,2,11104.0,12948.1,2780.749889867839
resnet152,11,32,1,bert,3,11,2,22194.5,22691.84,4286.05585059271
resnet152,14,35,1,bert,3,9,2,22224.0,22933.56,4196.223927103986
resnet152,40,44,1,bert,3,8,2,7585.0,7762.92,721.2408429921311
resnet152,43,47,1,bert,4,11,2,10405.0,10484.68,471.3798655012749
resnet152,7,46,1,bert,5,9,2,38219.0,39829.02,5091.55244887058
resnet152,19,29,1,bert,1,10,2,13236.0,13788.09,1395.8591554666252
resnet152,38,42,1,bert,0,8,2,11802.0,11856.68,366.48920529805514
resnet152,34,49,1,bert,4,11,2,14820.0,16865.85,4290.387913405966
resnet152,19,36,1,bert,4,8,2,15753.5,17970.92,3596.1345321886943
resnet152,22,29,1,bert,0,5,2,7584.0,8303.27,1697.8680623358223
resnet152,45,49,1,bert,4,10,2,8992.5,9115.82,620.4823507562483
