model,start,end,bs,model,start,end,bs,median,mean,var
inception_v3,1,9,1,vgg16,0,7,1,16625.5,16716.75,215.2588383783579
inception_v3,5,11,1,vgg16,11,15,1,14542.0,14570.77,83.0175710316798
inception_v3,0,9,1,vgg16,0,14,1,17376.0,17460.9,330.74517381210575
inception_v3,7,11,1,vgg16,9,13,1,10654.5,10669.27,78.92209513184504
inception_v3,6,11,1,vgg16,7,17,1,13382.5,13386.49,97.87701415552071
inception_v3,2,11,1,vgg16,8,15,1,20730.0,20917.53,365.99577743465835
inception_v3,2,9,1,vgg16,8,16,1,16092.5,16197.8,210.77789257889455
inception_v3,9,13,1,vgg16,1,7,1,10438.0,10473.13,339.56088275889493
inception_v3,5,11,1,vgg16,7,18,1,14633.5,14648.41,51.3793917830875
inception_v3,2,12,1,vgg16,9,15,1,23401.0,23607.75,438.03169691244943
inception_v3,3,9,1,vgg16,7,14,1,14012.0,14090.6,178.08205973651587
inception_v3,8,12,1,vgg16,0,10,1,10617.5,10637.8,69.60316084776609
inception_v3,1,5,1,vgg16,0,12,1,7020.5,7023.99,88.19257281653597
inception_v3,2,7,1,vgg16,1,9,1,10489.5,10549.19,396.5183651484506
inception_v3,3,7,1,vgg16,13,17,1,8421.5,8428.0,99.38349963650907
inception_v3,3,11,1,vgg16,10,17,1,18665.0,18875.86,954.0738547932228
inception_v3,0,4,1,vgg16,12,17,1,5816.5,5915.81,756.8528482472666
inception_v3,3,7,1,vgg16,0,18,1,8451.5,8538.54,509.2315273036421
inception_v3,1,11,1,vgg16,5,12,1,21255.5,21387.78,294.23366836580755
inception_v3,3,13,1,vgg16,10,14,1,23972.5,24161.53,325.6017031589362
inception_v3,5,13,1,vgg16,8,18,1,19892.0,19890.31,101.63274029563505
inception_v3,2,8,1,vgg16,11,18,1,13258.5,13329.03,367.43697296271097
inception_v3,9,13,1,vgg16,14,18,1,10378.0,10371.5,87.99380660023749
inception_v3,5,13,1,vgg16,4,18,1,19847.0,19863.9,126.50363631137249
inception_v3,6,11,1,vgg16,8,18,1,13271.0,13336.24,352.1910027243739
inception_v3,5,11,1,vgg16,7,14,1,14525.0,14567.15,161.10762706960836
inception_v3,2,7,1,vgg16,14,18,1,10402.5,10431.58,127.37772018685213
inception_v3,6,13,1,vgg16,12,17,1,18595.5,18637.53,352.81478016092234
inception_v3,8,12,1,vgg16,13,18,1,10524.0,10525.27,62.03770708206421
inception_v3,7,12,1,vgg16,12,16,1,13351.0,13446.12,815.4350774893119
inception_v3,5,12,1,vgg16,2,6,1,17253.0,17300.53,350.41565190499125
inception_v3,6,10,1,vgg16,12,17,1,11520.5,11529.99,57.362094627027005
inception_v3,5,9,1,vgg16,4,17,1,9932.0,9948.34,76.70726432353067
inception_v3,5,12,1,vgg16,5,15,1,17283.5,17339.35,345.39196212419307
inception_v3,1,11,1,vgg16,14,18,1,21265.0,21428.68,305.76117739176766
inception_v3,8,12,1,vgg16,10,14,1,10551.0,10603.32,342.26939331468134
inception_v3,9,13,1,vgg16,3,9,1,10431.0,10444.77,71.27564170177635
inception_v3,9,13,1,vgg16,1,14,1,10398.5,10410.23,63.98763239876906
inception_v3,8,12,1,vgg16,2,14,1,10527.5,10546.58,90.7120918069912
inception_v3,6,13,1,vgg16,0,4,1,18685.0,18740.17,341.17227481142135
inception_v3,8,13,1,vgg16,10,17,1,13234.0,13243.98,74.15510501644509
inception_v3,1,6,1,vgg16,13,17,1,8340.0,8386.01,226.05572299767155
inception_v3,1,10,1,vgg16,5,17,1,19488.5,19633.63,398.4154277886337
inception_v3,0,7,1,vgg16,13,17,1,11779.0,11817.32,136.70880586121731
inception_v3,7,13,1,vgg16,13,17,1,16000.0,16050.66,396.2214587828377
inception_v3,0,7,1,vgg16,1,5,1,11804.5,11819.89,131.25851553327882
inception_v3,7,12,1,vgg16,2,8,1,13351.5,13369.13,60.649922506133514
inception_v3,0,5,1,vgg16,12,18,1,7859.0,7862.53,100.60143686846625
inception_v3,7,12,1,vgg16,14,18,1,13323.0,13528.63,1044.8462629018682
inception_v3,8,13,1,vgg16,1,14,1,13179.5,13199.59,91.09479622898336
inception_v3,3,10,1,vgg16,12,17,1,16769.5,16837.0,208.37994145310628
inception_v3,4,9,1,vgg16,3,18,1,11917.0,11965.11,160.86745444619928
inception_v3,3,13,1,vgg16,8,12,1,23977.5,24119.2,305.68869786107564
inception_v3,8,13,1,vgg16,6,16,1,13140.5,13204.94,366.38544785512426
inception_v3,6,11,1,vgg16,9,18,1,13315.5,13309.67,61.88215493985322
inception_v3,2,7,1,vgg16,6,11,1,10474.5,10499.0,129.5748432374124
inception_v3,5,9,1,vgg16,10,14,1,9882.5,9931.01,356.4635043030352
inception_v3,1,9,1,vgg16,7,11,1,16547.0,16618.88,212.894400114235
inception_v3,5,11,1,vgg16,12,18,1,14549.0,14560.09,50.689859932732105
inception_v3,2,6,1,vgg16,12,16,1,7784.5,8066.27,1345.2351233520483
inception_v3,4,8,1,vgg16,11,15,1,9130.5,9235.82,423.1453031761075
inception_v3,2,13,1,vgg16,10,18,1,26012.5,26227.03,732.6512465696076
inception_v3,2,6,1,vgg16,12,18,1,7742.5,7762.49,267.83112197801063
inception_v3,9,13,1,vgg16,7,12,1,10370.5,10369.05,105.53325305324384
