core,bs,duration
17,5,0.10245609283447266
17,6,0.10074496269226074
17,7,0.09778976440429688
17,8,0.10062026977539062
17,9,0.09430170059204102
17,10,0.09393835067749023
17,11,0.09824585914611816
17,12,0.09631156921386719
17,13,0.09810400009155273
17,14,0.10223221778869629
17,15,0.10155606269836426
17,16,0.10702133178710938
18,1,0.08344745635986328
18,2,0.10083365440368652
18,3,0.09520626068115234
18,4,0.09237360954284668
18,5,0.09886670112609863
18,6,0.09109163284301758
18,7,0.09330058097839355
18,8,0.09387969970703125
18,9,0.0918731689453125
18,10,0.09146785736083984
18,11,0.09759926795959473
18,12,0.09373235702514648
18,13,0.09366750717163086
18,14,0.0924692153930664
18,15,0.09409761428833008
18,16,0.09375667572021484
19,1,0.080718994140625
19,2,0.09161853790283203
19,3,0.09362006187438965
19,4,0.0922250747680664
19,5,0.09040141105651855
19,6,0.09613323211669922
19,7,0.09102463722229004
19,8,0.09298491477966309
19,9,0.09220623970031738
19,10,0.09205174446105957
19,11,0.09534525871276855
19,12,0.09278512001037598
19,13,0.10117053985595703
19,14,0.09843111038208008
19,15,0.09252381324768066
19,16,0.09345245361328125
20,1,0.0775613784790039
20,2,0.08826756477355957
20,3,0.08867311477661133
20,4,0.08890485763549805
20,5,0.08846688270568848
20,6,0.0886073112487793
20,7,0.0895082950592041
20,8,0.09144234657287598
20,9,0.09000158309936523
20,10,0.0897369384765625
20,11,0.09142398834228516
20,12,0.09529399871826172
20,13,0.09244036674499512
20,14,0.09068846702575684
20,15,0.09760427474975586
20,16,0.093475341796875
21,1,0.08049845695495605
21,2,0.08936047554016113
21,3,0.09085679054260254
21,4,0.08971881866455078
21,5,0.08911013603210449
21,6,0.08888983726501465
21,7,0.09370183944702148
21,8,0.08957362174987793
21,9,0.09010577201843262
21,10,0.09022951126098633
21,11,0.09012985229492188
21,12,0.09026026725769043
21,13,0.09047651290893555
21,14,0.09254789352416992
21,15,0.09112095832824707
21,16,0.09123992919921875
22,1,0.07876038551330566
22,2,0.09282422065734863
22,3,0.09099531173706055
22,4,0.08888530731201172
22,5,0.08939123153686523
22,6,0.08970475196838379
22,7,0.0925900936126709
22,8,0.09170150756835938
22,9,0.0918121337890625
22,10,0.09088659286499023
22,11,0.09317994117736816
22,12,0.09043502807617188
22,13,0.09381699562072754
22,14,0.09103226661682129
22,15,0.09118127822875977
22,16,0.09170150756835938
23,1,0.07823705673217773
23,2,0.08881735801696777
23,3,0.08971190452575684
23,4,0.09285449981689453
23,5,0.09441471099853516
23,6,0.08909130096435547
23,7,0.08981871604919434
23,8,0.09271907806396484
23,9,0.09061098098754883
23,10,0.09009790420532227
23,11,0.09001946449279785
23,12,0.09012198448181152
23,13,0.0909271240234375
23,14,0.09385371208190918
23,15,0.09242773056030273
23,16,0.09282302856445312
24,1,0.07809138298034668
24,2,0.08837342262268066
24,3,0.09301376342773438
24,4,0.09050559997558594
24,5,0.09193253517150879
24,6,0.0896461009979248
24,7,0.09005570411682129
24,8,0.09021592140197754
24,9,0.09031248092651367
24,10,0.0912024974822998
24,11,0.09306669235229492
24,12,0.09103655815124512
24,13,0.09111332893371582
24,14,0.09531641006469727
24,15,0.09242534637451172
24,16,0.09128713607788086
25,1,0.07966089248657227
25,2,0.08874702453613281
25,3,0.08923125267028809
25,4,0.0938115119934082
25,5,0.09186005592346191
25,6,0.09365010261535645
25,7,0.08981752395629883
25,8,0.08934402465820312
25,9,0.09527063369750977
25,10,0.09018588066101074
25,11,0.0915215015411377
25,12,0.0895223617553711
25,13,0.09004449844360352
25,14,0.09055662155151367
25,15,0.09081006050109863
25,16,0.0919644832611084
26,1,0.07949972152709961
26,2,0.08828234672546387
26,3,0.08834958076477051
26,4,0.09456133842468262
26,5,0.08912539482116699
26,6,0.08948850631713867
26,7,0.09144449234008789
26,8,0.08926868438720703
26,9,0.08961677551269531
