core,bs,duration
8,5,0.0869596004486084
8,6,0.08658337593078613
8,7,0.08963203430175781
8,8,0.08816981315612793
8,9,0.08754348754882812
8,10,0.08794093132019043
8,11,0.0883336067199707
8,12,0.09076571464538574
8,13,0.08893227577209473
8,14,0.08902740478515625
8,15,0.08878803253173828
8,16,0.0890655517578125
9,1,0.06774258613586426
9,2,0.08668804168701172
9,3,0.08985090255737305
9,4,0.08682608604431152
9,5,0.08782744407653809
9,6,0.08734488487243652
9,7,0.08796143531799316
9,8,0.08832240104675293
9,9,0.08852458000183105
9,10,0.08824539184570312
9,11,0.0880424976348877
9,12,0.0887291431427002
9,13,0.08853745460510254
9,14,0.09141063690185547
9,15,0.0891880989074707
9,16,0.08993935585021973
10,1,0.06723737716674805
10,2,0.08700847625732422
10,3,0.09078073501586914
10,4,0.0869290828704834
10,5,0.0917825698852539
10,6,0.1020195484161377
10,7,0.09463310241699219
10,8,0.08838939666748047
10,9,0.09053230285644531
10,10,0.08804678916931152
10,11,0.0885157585144043
10,12,0.08881664276123047
10,13,0.08836960792541504
10,14,0.08873391151428223
10,15,0.0890190601348877
10,16,0.08852410316467285
11,1,0.06893062591552734
11,2,0.08620142936706543
11,3,0.0866234302520752
11,4,0.08705520629882812
11,5,0.08855271339416504
11,6,0.08739733695983887
11,7,0.08794021606445312
11,8,0.08813810348510742
11,9,0.08864760398864746
11,10,0.09192967414855957
11,11,0.0912008285522461
11,12,0.0884847640991211
11,13,0.08867621421813965
11,14,0.08837080001831055
11,15,0.0920102596282959
11,16,0.09165358543395996
12,1,0.06822443008422852
12,2,0.08594322204589844
12,3,0.08619093894958496
12,4,0.08664751052856445
12,5,0.08714175224304199
12,6,0.08681464195251465
12,7,0.08722209930419922
12,8,0.08784365653991699
12,9,0.08778738975524902
12,10,0.08795475959777832
12,11,0.08799099922180176
12,12,0.09079480171203613
12,13,0.08888530731201172
12,14,0.08847475051879883
12,15,0.08886146545410156
12,16,0.08900904655456543
13,1,0.06690812110900879
13,2,0.08965349197387695
13,3,0.08648180961608887
13,4,0.08682703971862793
13,5,0.08697104454040527
13,6,0.0872809886932373
13,7,0.09030508995056152
13,8,0.09355306625366211
13,9,0.09721851348876953
13,10,0.09235620498657227
13,11,0.0886838436126709
13,12,0.08896374702453613
13,13,0.08930468559265137
13,14,0.08902287483215332
13,15,0.08961892127990723
13,16,0.08938956260681152
14,1,0.06941032409667969
14,2,0.08721137046813965
14,3,0.08966517448425293
14,4,0.08678722381591797
14,5,0.08699607849121094
14,6,0.08828043937683105
14,7,0.08808755874633789
14,8,0.08979415893554688
14,9,0.09232020378112793
14,10,0.08759284019470215
14,11,0.08828401565551758
14,12,0.0879659652709961
14,13,0.08859515190124512
14,14,0.09521293640136719
14,15,0.08962750434875488
14,16,0.0893254280090332
15,1,0.06804013252258301
15,2,0.0870354175567627
15,3,0.08693408966064453
15,4,0.08797287940979004
15,5,0.08742594718933105
15,6,0.08767223358154297
15,7,0.08796811103820801
15,8,0.08873605728149414
15,9,0.09080743789672852
15,10,0.0890495777130127
15,11,0.08862638473510742
15,12,0.08887171745300293
15,13,0.08934879302978516
15,14,0.08889484405517578
15,15,0.0893239974975586
15,16,0.09284496307373047
16,1,0.06969118118286133
16,2,0.08680939674377441
16,3,0.08710122108459473
16,4,0.08733177185058594
16,5,0.09071683883666992
16,6,0.08745741844177246
16,7,0.08784031867980957
16,8,0.08768987655639648
16,9,0.08800792694091797
16,10,0.09378933906555176
16,11,0.10020971298217773
16,12,0.09525632858276367
16,13,0.08916044235229492
