model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,17,27,1,0,inception_v3,3,10,1,0,bert,5,10,1,16,10172.5,10219.551020408164,246.63192944427885
resnet152,19,23,1,0,inception_v3,7,12,1,0,bert,2,7,1,8,8108.0,8131.948979591837,224.4557304858541
resnet152,34,41,1,0,inception_v3,5,9,1,0,bert,3,7,1,16,6214.5,6319.540816326531,464.6249786473033
resnet152,45,51,1,0,inception_v3,0,5,1,0,bert,0,7,1,16,8999.0,9024.642857142857,194.13193756740148
resnet152,18,40,1,0,inception_v3,0,10,1,0,bert,7,11,1,32,14123.0,14713.265306122448,1682.8653259018874
resnet152,2,20,1,0,inception_v3,6,13,1,0,bert,5,12,1,32,11599.0,12278.122448979591,1750.3762817929721
resnet152,4,27,1,0,inception_v3,4,8,1,0,bert,8,12,1,8,14194.0,14257.867346938776,241.03956986333188
resnet152,40,48,1,0,inception_v3,1,9,1,0,bert,2,8,1,16,10153.0,10288.34693877551,613.4861424518281
resnet152,3,18,1,0,inception_v3,1,11,1,0,bert,4,8,1,16,12814.0,13138.540816326531,992.3837943420897
resnet152,32,36,1,0,inception_v3,6,10,1,0,bert,8,12,1,16,7054.5,7070.632653061224,135.09364762140055
resnet152,2,27,1,0,inception_v3,0,11,1,0,bert,4,9,1,16,15249.5,15269.010204081633,136.79565386475142
resnet152,21,29,1,0,inception_v3,9,14,1,0,bert,8,12,1,16,6682.0,6777.591836734694,359.23782233304104
resnet152,21,33,1,0,inception_v3,5,10,1,0,bert,3,10,1,64,9831.5,10297.622448979591,1223.2292701088973
resnet152,41,49,1,0,inception_v3,2,14,1,0,bert,7,11,1,16,15765.0,15866.632653061224,443.0743335561501
resnet152,47,51,1,0,inception_v3,9,14,1,0,bert,3,12,1,16,11277.0,11333.234693877552,385.0786773841506
resnet152,47,52,1,0,inception_v3,10,14,1,0,bert,8,12,1,16,5676.0,5718.2959183673465,279.54081185677404
resnet152,41,49,1,0,inception_v3,0,7,1,0,bert,3,12,1,32,12085.0,12133.948979591836,401.3628408933482
resnet152,20,30,1,0,inception_v3,6,11,1,0,bert,7,11,1,64,8227.5,8518.408163265307,972.911607839096
resnet152,43,49,1,0,inception_v3,0,10,1,0,bert,2,9,1,16,12267.0,12355.244897959185,583.2019124087597
