model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,24,35,8,0,resnet152,15,52,8,0,vgg19,20,22,8,0,bert,0,12,16,64,17609.0,18307.561224489797,1801.6399845714636
resnet101,6,35,8,0,resnet152,40,52,8,0,vgg19,0,13,8,0,bert,6,12,16,16,17884.5,17870.571428571428,195.9805279790285
resnet101,26,34,8,0,resnet152,51,52,8,0,vgg19,1,6,8,0,bert,0,5,16,16,6364.0,6500.285714285715,684.1389642820964
resnet101,0,35,8,0,resnet152,0,31,8,0,vgg19,0,6,8,0,bert,11,11,16,8,22225.0,22259.908163265307,127.32499688325261
resnet101,13,35,8,0,resnet152,0,43,8,0,vgg19,0,22,8,0,bert,0,9,16,8,26997.5,27063.34693877551,366.6904968087019
resnet101,0,35,8,0,resnet152,0,40,8,0,vgg19,0,20,8,0,bert,0,12,16,32,31942.5,31946.724489795917,164.08134994645155
resnet101,0,35,8,0,resnet152,0,38,8,0,vgg19,0,22,8,0,bert,0,12,16,64,34705.5,34730.0,190.75248413607
resnet101,0,21,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,1,16,64,30872.5,30875.88775510204,171.61822144427185
resnet101,0,8,8,0,resnet152,29,37,8,0,vgg19,0,22,8,0,bert,1,5,16,16,15853.5,15885.214285714286,142.99252513644885
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,5,12,16,64,35850.5,35857.9693877551,198.17115124391702
resnet101,0,23,8,0,resnet152,0,52,8,0,vgg19,19,19,8,0,bert,6,12,16,32,24788.5,26466.551020408162,2817.7173389995946
resnet101,0,27,8,0,resnet152,0,9,8,0,vgg19,0,22,8,0,bert,0,12,16,8,23216.5,23286.48979591837,452.37990276590426
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,13,8,0,bert,0,8,16,16,31264.0,31340.928571428572,706.4421383934845
resnet101,0,15,8,0,resnet152,0,52,8,0,vgg19,14,15,8,0,bert,0,9,16,32,24630.5,25392.020408163266,1839.8900254379214
resnet101,0,35,8,0,resnet152,0,32,8,0,vgg19,9,22,8,0,bert,5,12,16,8,22199.5,22388.244897959183,966.0122116651601
resnet101,33,34,8,0,resnet152,0,2,8,0,vgg19,0,22,8,0,bert,0,11,16,16,14190.5,14263.908163265307,558.4820733558882
resnet101,0,6,8,0,resnet152,0,5,8,0,vgg19,8,22,8,0,bert,0,8,16,16,11930.5,11963.948979591836,297.83471558077514
resnet101,32,32,8,0,resnet152,0,52,8,0,vgg19,16,18,8,0,bert,0,5,16,8,24536.5,25689.673469387755,2687.395711409894
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,10,12,16,64,33866.5,33906.857142857145,525.2980495074454
resnet101,0,35,8,0,resnet152,12,18,8,0,vgg19,5,22,8,0,bert,0,11,16,64,22163.0,22221.275510204083,502.2388199426572
resnet101,13,35,8,0,resnet152,50,52,8,0,vgg19,0,22,8,0,bert,10,10,16,32,15731.5,15734.397959183674,132.8094184479705
resnet101,0,28,8,0,resnet152,0,52,8,0,vgg19,0,0,8,0,bert,0,12,16,16,24570.5,25246.76530612245,2436.195921383944
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,9,11,16,8,33111.0,33159.989795918365,533.9634913549412
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,7,22,8,0,bert,0,12,16,32,30494.5,30572.173469387755,557.5816408696596
resnet101,4,21,8,0,resnet152,30,36,8,0,vgg19,0,22,8,0,bert,0,12,16,32,18947.0,18910.520408163266,147.93864072730142
resnet101,0,19,8,0,resnet152,0,39,8,0,vgg19,0,22,8,0,bert,0,12,16,64,32926.5,32917.41836734694,177.8297697506785
resnet101,0,35,8,0,resnet152,28,52,8,0,vgg19,0,22,8,0,bert,0,12,16,16,26147.5,26142.775510204083,208.15146225041175
resnet101,15,35,8,0,resnet152,1,52,8,0,vgg19,0,22,8,0,bert,0,11,16,16,29126.5,29149.918367346938,232.2658431787561
resnet101,28,35,8,0,resnet152,3,52,8,0,vgg19,0,22,8,0,bert,9,12,16,64,26035.0,26057.51020408163,190.99889116560064
resnet101,0,35,8,0,resnet152,42,52,8,0,vgg19,0,22,8,0,bert,0,7,16,64,25923.0,25924.622448979593,233.6039520958899
resnet101,17,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,12,16,8,29223.5,29272.551020408162,304.6957372443486
resnet101,10,15,8,0,resnet152,0,19,8,0,vgg19,0,21,8,0,bert,0,12,16,32,19975.5,20003.948979591838,156.95010076967722
resnet101,0,34,8,0,resnet152,48,48,8,0,vgg19,2,22,8,0,bert,0,4,16,16,18951.0,19345.714285714286,957.592847312724
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,12,8,0,bert,0,12,16,32,32720.0,32815.0306122449,683.3639251269643
resnet101,0,12,8,0,resnet152,0,43,8,0,vgg19,0,22,8,0,bert,0,12,16,32,29831.5,29889.35714285714,453.9862950821853
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,12,8,0,bert,0,1,16,16,30150.0,30164.377551020407,172.23545318191026
