model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,32,43,1,0,vgg19,10,21,1,0,bert,4,11,1,32,13035.5,13354.530612244898,965.1757924271518
resnet152,31,49,1,0,vgg19,10,19,1,0,bert,5,11,1,16,11969.0,12351.5,1053.7897425144029
resnet152,9,21,1,0,vgg19,2,10,1,0,bert,1,5,1,8,8171.0,8604.112244897959,1053.1548898879785
resnet152,35,47,1,0,vgg19,10,20,1,0,bert,7,11,1,64,8095.0,9055.132653061224,1705.7855311619724
resnet152,28,41,1,0,vgg19,15,19,1,0,bert,7,11,1,32,8534.0,8884.275510204081,948.0971682378647
resnet152,15,45,1,0,vgg19,10,18,1,0,bert,3,8,1,64,19052.0,19059.84693877551,67.41364121037485
resnet152,24,38,1,0,vgg19,0,19,1,0,bert,6,11,1,64,9608.5,10087.091836734693,1287.1020216031804
resnet152,46,51,1,0,vgg19,7,13,1,0,bert,0,11,1,8,19732.0,20899.744897959183,2609.521773027108
resnet152,1,47,1,0,vgg19,2,8,1,0,bert,6,11,1,64,29122.5,29153.061224489797,238.55940159276167
resnet152,44,50,1,0,vgg19,2,9,1,0,bert,5,10,1,16,9016.5,9343.632653061224,2083.4945643677847
resnet152,25,42,1,0,vgg19,10,21,1,0,bert,4,8,1,32,12916.5,13027.84693877551,509.59115969731
resnet152,18,47,1,0,vgg19,17,21,1,0,bert,0,11,1,8,21322.0,21516.45918367347,527.9856825588064
resnet152,21,25,1,0,vgg19,3,9,1,0,bert,6,10,1,64,6567.0,6689.806122448979,671.4475021368245
resnet152,39,45,1,0,vgg19,6,16,1,0,bert,0,11,1,32,17670.5,19168.0,3327.188262586576
resnet152,10,50,1,0,vgg19,14,21,1,0,bert,4,11,1,64,29708.5,29713.51020408163,107.87759928033698
resnet152,20,41,1,0,vgg19,1,13,1,0,bert,1,9,1,16,15800.5,16278.65306122449,1206.8985982974134
resnet152,38,49,1,0,vgg19,2,15,1,0,bert,6,11,1,32,8906.0,9446.510204081633,1358.25499728548
resnet152,2,45,1,0,vgg19,1,10,1,0,bert,7,11,1,16,31657.5,31653.255102040817,611.177456965275
resnet152,24,28,1,0,vgg19,14,21,1,0,bert,2,10,1,64,14142.5,14978.755102040815,3025.0016969508633
resnet152,1,50,1,0,vgg19,8,21,1,0,bert,3,9,1,64,36509.0,36925.11224489796,3096.2726270919093
resnet152,5,48,1,0,vgg19,4,19,1,0,bert,6,11,1,16,31246.0,31791.163265306124,4066.2832567794444
resnet152,44,48,1,0,vgg19,10,15,1,0,bert,0,11,1,32,17099.0,17906.122448979593,2137.511571828355
resnet152,6,18,1,0,vgg19,8,14,1,0,bert,1,8,1,64,11454.0,12065.520408163266,1703.0442983776343
resnet152,4,37,1,0,vgg19,7,17,1,0,bert,3,7,1,8,26287.5,27059.081632653062,3651.329787601485
resnet152,4,37,1,0,vgg19,13,20,1,0,bert,5,9,1,16,24530.5,25014.918367346938,3867.2158805535405
resnet152,18,28,1,0,vgg19,11,21,1,0,bert,4,10,1,8,9152.5,9764.316326530612,1559.8635248841665
resnet152,5,30,1,0,vgg19,8,13,1,0,bert,3,11,1,8,20117.5,20188.571428571428,3760.8411510279593
resnet152,32,47,1,0,vgg19,15,19,1,0,bert,3,7,1,32,10087.5,11581.612244897959,2144.661567101225
resnet152,4,37,1,0,vgg19,6,10,1,0,bert,6,10,1,32,23355.5,24309.132653061224,3426.5022048663836
resnet152,6,19,1,0,vgg19,6,18,1,0,bert,3,8,1,64,8874.5,9846.69387755102,1882.670651983524
resnet152,45,51,1,0,vgg19,16,20,1,0,bert,5,10,1,16,7715.0,7954.418367346939,874.613149743049
resnet152,18,33,1,0,vgg19,16,20,1,0,bert,7,11,1,8,9838.5,10484.795918367347,1456.8841854379705
resnet152,46,51,1,0,vgg19,0,11,1,0,bert,7,11,1,8,6293.0,6782.3877551020405,1282.077767011966
resnet152,21,49,1,0,vgg19,14,19,1,0,bert,5,10,1,8,18064.5,19641.438775510203,2888.9854093143417
resnet152,36,40,1,0,vgg19,12,16,1,0,bert,2,7,1,16,7595.5,7720.428571428572,450.01013594026927
resnet152,7,37,1,0,vgg19,17,21,1,0,bert,2,9,1,32,19178.5,21132.714285714286,3159.6181569865657
resnet152,47,51,1,0,vgg19,8,15,1,0,bert,5,9,1,64,6663.0,7606.265306122449,1932.3436893302119
resnet152,26,36,1,0,vgg19,8,19,1,0,bert,6,10,1,32,6832.0,7209.663265306122,1138.7552364975375
resnet152,44,49,1,0,vgg19,14,20,1,0,bert,5,10,1,64,8024.5,8211.663265306122,755.0327867442087
resnet152,24,38,1,0,vgg19,11,21,1,0,bert,4,8,1,8,9546.0,10857.142857142857,2037.7517022444124
resnet152,46,50,1,0,vgg19,13,17,1,0,bert,5,10,1,16,7593.5,7841.84693877551,859.8233961056357
resnet152,38,48,1,0,vgg19,12,21,1,0,bert,1,6,1,16,7640.5,8107.5,1352.509008231346
resnet152,3,17,1,0,vgg19,12,17,1,0,bert,3,11,1,16,12056.0,13331.387755102041,2351.3012707801845
resnet152,28,46,1,0,vgg19,10,15,1,0,bert,0,8,1,64,12448.5,13624.265306122448,2087.5024406732423
resnet152,41,50,1,0,vgg19,0,17,1,0,bert,2,7,1,64,8202.5,8518.285714285714,983.4749926787615
resnet152,42,49,1,0,vgg19,1,20,1,0,bert,1,11,1,16,15070.0,15913.561224489797,2116.876925973957
resnet152,29,49,1,0,vgg19,9,16,1,0,bert,4,8,1,64,13211.0,13356.0,692.975866116857
resnet152,35,47,1,0,vgg19,10,20,1,0,bert,0,10,1,64,15776.5,16001.377551020409,966.7303036029266
