model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,35,4,0,resnet152,0,49,4,0,bert,0,7,4,32,29719.0,28291.15306122449,2785.7222466993967
resnet101,12,35,4,0,resnet152,0,52,4,0,bert,0,9,4,8,24503.0,24532.336734693876,199.74084964751
resnet101,30,35,4,0,resnet152,0,6,4,0,bert,0,9,4,16,8925.5,9162.724489795919,953.3918480513992
resnet101,23,35,4,0,resnet152,37,52,4,0,bert,0,1,4,8,9018.5,8893.92857142857,1173.6142001596295
resnet101,0,33,4,0,resnet152,41,52,4,0,bert,0,12,4,64,16338.0,16725.48979591837,1230.2435153410618
resnet101,0,3,4,0,resnet152,0,37,4,0,bert,0,12,4,64,18213.0,19867.530612244896,2477.397376132253
resnet101,3,35,4,0,resnet152,0,52,4,0,bert,0,3,4,32,25091.5,25115.836734693876,207.403810696377
resnet101,0,35,4,0,resnet152,31,44,4,0,bert,4,4,4,32,16776.0,17744.214285714286,1727.5950799316608
resnet101,0,25,4,0,resnet152,0,52,4,0,bert,0,12,4,64,25056.0,26997.673469387755,2971.2957448867055
resnet101,21,35,4,0,resnet152,0,52,4,0,bert,0,12,4,64,25264.5,26663.173469387755,2001.2208927914746
resnet101,0,28,4,0,resnet152,0,47,4,0,bert,10,12,4,32,22527.5,23283.775510204083,2347.6531422113753
resnet101,23,35,4,0,resnet152,0,34,4,0,bert,9,12,4,8,16740.0,17768.80612244898,2343.6305067581397
resnet101,0,21,4,0,resnet152,31,52,4,0,bert,8,12,4,8,12566.5,11819.234693877552,1238.387651557875
resnet101,0,35,4,0,resnet152,35,38,4,0,bert,0,12,4,8,17171.0,18543.132653061224,2298.112373754418
resnet101,26,35,4,0,resnet152,0,31,4,0,bert,5,12,4,8,15157.0,15940.683673469388,1729.6084940802841
resnet101,0,9,4,0,resnet152,0,23,4,0,bert,1,12,4,32,11546.5,12346.612244897959,1408.327185667762
resnet101,0,35,4,0,resnet152,21,52,4,0,bert,0,12,4,16,25822.5,24283.30612244898,3314.4665911485768
resnet101,0,35,4,0,resnet152,3,22,4,0,bert,3,6,4,32,16802.0,16887.877551020407,467.43036729715527
resnet101,24,35,4,0,resnet152,0,43,4,0,bert,8,12,4,64,20657.5,22137.48979591837,2563.1673735029
resnet101,0,35,4,0,resnet152,0,31,4,0,bert,0,12,4,32,20790.5,21068.867346938776,3595.157322883202
resnet101,0,35,4,0,resnet152,44,52,4,0,bert,9,12,4,8,16754.5,16777.602040816328,158.0867586521439
resnet101,4,35,4,0,resnet152,0,52,4,0,bert,0,0,4,8,24894.5,27208.45918367347,3348.36779051808
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,5,8,4,32,27495.5,27522.622448979593,224.71480861378276
resnet101,0,30,4,0,resnet152,0,52,4,0,bert,0,3,4,64,27426.5,27455.785714285714,176.36518525896366
resnet101,0,35,4,0,resnet152,33,49,4,0,bert,0,5,4,64,20650.5,19684.45918367347,2680.97683678066
resnet101,0,35,4,0,resnet152,0,7,4,0,bert,0,12,4,64,16964.5,16986.591836734693,181.87839830528472
resnet101,0,15,4,0,resnet152,43,52,4,0,bert,0,12,4,32,11796.0,12313.316326530612,1607.8482299488876
resnet101,0,7,4,0,resnet152,15,52,4,0,bert,0,10,4,8,17850.0,18178.163265306124,1312.9380877726228
